04/04 09:22:00 FINE sim.Admin|Log for simulation 2 started
************************************************************
* Log for simulation 2 started
************************************************************


04/04 09:22:00 INFO sim.TACAdxSimulation|TACAA Simulation 2 is setting up...
04/04 09:22:00 INFO sim.TACAdxSimulation|Created Adx Agent
04/04 09:22:00 INFO sim.TACAdxSimulation|Created Demand Agent
04/04 09:22:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
04/04 09:22:00 FINE sim.ExternalAgent|sample setup with address adv1
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
04/04 09:22:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
04/04 09:22:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
04/04 09:22:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
04/04 09:22:00 INFO agents.DemandAgent|setting up...
04/04 09:22:00 FINE agents.DemandAgent|Finished setup
04/04 09:22:00 INFO sim.Simulation|***** START OF TIME 0 *****
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1187030418, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=962491367, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1745575965, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1121142088, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1013554238, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=965790062, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1352168008, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
04/04 09:22:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1215757902, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
04/04 09:22:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=2083641356, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2572
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2060
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2688
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 3178
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2260
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2435
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 2083641356 Cmp Bid: 2634
04/04 09:22:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.15419616359307253 Cmp ID: 2083641356 Cmp Bid: 997179
04/04 09:22:10 INFO sim.Simulation|***** START OF TIME 1 *****
04/04 09:22:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=2083641356, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=2083641356, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=2435.0, advertiser=DummyAdnetwork-6]
04/04 09:22:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1437384916, reachImps=6250, dayStart=3, dayEnd=12, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:10 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2240
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2569
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2110
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2138
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2249
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2460
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1437384916 Cmp Bid: 2869
04/04 09:22:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.19929134031493412 Cmp ID: 1437384916 Cmp Bid: 499152
04/04 09:22:20 INFO sim.Simulation|***** START OF TIME 2 *****
04/04 09:22:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1437384916, reachImps=6250, dayStart=3, dayEnd=12, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:20 FINE agents.DemandAgent|Day 2 :Reporting auction results...CampaignImpl [id=1437384916, reachImps=6250, dayStart=3, dayEnd=12, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2460.0, advertiser=DummyAdnetwork-6]
04/04 09:22:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=147562520, reachImps=12500, dayStart=4, dayEnd=13, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
04/04 09:22:20 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
